
Sherwood, UTaft-75
Jollibee, UTaft-60
Dagonoy Street, UTaft-30
Burgundy, UTaft-10
Estrada, UTaft10
D'Students Place, UTaft25
P. Ocampo, UTaft50
Green Mall, LTaft-75
Andrew Canteen, LTaft-65
One Archers, LTaft-55
EGI Taft, LTaft-40
Castro Street, LTaft-50
WH Taft Residences, LTaft-30
McDonalds, LTaft40
University Mall, LTaft45
Fidel Reyes, FidelReyes-90
Green Court, FidelReyes-60
Agno Food Court, FidelReyes-50
La Casita, FidelReyes-65
Bloemen, FidelReyes-25
FidelReyes-30, LTaft-30
Green Mall, FidelReyes-75
Andrew Canteen, FidelReyes-65

